freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,L0008,KM2,BG32	14661 	14661 	14661 	14661 	14661 	14660 	14660 	14660 	14660 	14660 	14660 	14660 
A,L0008,KM2,BG321	4623 	4623 	4623 	4623 	4623 	4623 	4623 	4623 	4623 	4623 	4623 	4623 
A,L0008,KM2,BG322	2018 	2018 	2018 	2018 	2018 	2018 	2018 	2018 	2018 	2018 	2018 	2018 
A,L0008,KM2,BG323	2810 	2810 	2810 	2810 	2810 	2810 	2810 	2810 	2810 	2810 	2810 	2810 
A,L0008,KM2,BG324	2409 	2409 	2409 	2409 	2409 	2409 	2409 	2409 	2409 	2409 	2409 	2409 
A,L0008,KM2,BG325	2800 	2800 	2800 	2800 	2800 	2800 	2800 	2800 	2800 	2800 	2800 	2800 
A,L0008,KM2,BG33	14560 	14560 	14560 	14560 	14560 	14560 	14560 	14560 	14560 	14560 	14560 	14560 
A,L0008,KM2,BG331	3778 	3778 	3778 	3778 	3778 	3778 	3778 	3778 	3778 	3778 	3778 	3778 
A,L0008,KM2,BG332	4711 	4711 	4711 	4711 	4711 	4711 	4711 	4711 	4711 	4711 	4711 	4711 
A,L0008,KM2,BG333	3374 	3374 	3374 	3374 	3374 	3374 	3374 	3374 	3374 	3374 	3374 	3374 
A,L0008,KM2,BG334	2697 	2697 	2697 	2697 	2697 	2697 	2697 	2697 	2697 	2697 	2697 	2697 
A,L0008,KM2,BG34	19593 	19593 	19593 	19593 	19593 	19594 	19594 	19594 	19594 	19594 	19594 	19594 
A,L0008,KM2,BG341	7637 	7637 	7637 	7637 	7637 	7637 	7637 	7637 	7637 	7637 	7637 	7637 
A,L0008,KM2,BG342	3521 	3521 	3521 	3521 	3521 	3521 	3521 	3521 	3521 	3521 	3521 	3521 
A,L0008,KM2,BG343	3339 	3339 	3339 	3339 	3339 	3339 	3339 	3339 	3339 	3339 	3339 	3339 
A,L0008,KM2,BG344	5097 	5097 	5097 	5097 	5097 	5097 	5097 	5097 	5097 	5097 	5097 	5097 
A,L0008,KM2,BG4	42344 	42344 	42344 	42344 	42344 	42344 	42344 	42344 	42344 	42344 	42344 	42344 
A,L0008,KM2,BG41	20229 	20229 	20229 	20229 	20229 	20228 	20228 	20228 	20228 	20228 	20228 	20228 
A,L0008,KM2,BG411	1306 	1306 	1306 	1306 	1306 	1306 	1306 	1306 	1306 	1306 	1306 	1306 
A,L0008,KM2,BG412	7052 	7052 	7052 	7052 	7052 	7052 	7052 	7052 	7052 	7052 	7052 	7052 
A,L0008,KM2,BG413	6441 	6441 	6441 	6441 	6441 	6441 	6441 	6441 	6441 	6441 	6441 	6441 
A,L0008,KM2,BG414	2380 	2380 	2380 	2380 	2380 	2380 	2380 	2380 	2380 	2380 	2380 	2380 
A,L0008,KM2,BG415	3049 	3049 	3049 	3049 	3049 	3049 	3049 	3049 	3049 	3049 	3049 	3049 
A,L0008,KM2,BG42	22115 	22115 	22115 	22115 	22115 	22116 	22116 	22116 	22116 	22116 	22116 	22116 
A,L0008,KM2,BG421	5904 	5904 	5904 	5904 	5904 	5904 	5904 	5904 	5904 	5904 	5904 	5904 
