Lon	Lat	Year	Total
8.75	49.75	2020	7.73
18.75	66.25	2020	16.418
25.75	60.75	2020	14.248
25.25	63.25	2020	20.894
0.75	49.25	2020	3.735
-2.75	42.75	2020	7.749
15.75	65.25	2020	11.238
-2.75	47.75	2020	1.766
22.25	67.75	2020	17.5
-0.25	45.25	2020	5.57
14.75	52.75	2020	6.794
12.25	50.25	2020	8.774
23.25	50.75	2020	4.781
6.75	48.25	2020	15.15
22.75	66.75	2020	23.046
16.75	52.75	2020	8.4
7.25	47.25	2020	9.119
12.25	51.25	2020	1.167
2.75	45.25	2020	9.82
23.75	66.25	2020	14.466
0.25	41.25	2020	3.968
22.25	66.75	2020	22.338
2.25	41.75	2020	10.75
28.75	62.25	2020	13.204
-0.25	45.75	2020	1.921
13.75	51.25	2020	6.046
27.25	62.75	2020	17.92
23.25	50.25	2020	7.984
8.25	52.25	2020	4.29
11.75	53.75	2020	4.444
10.25	53.75	2020	4.775
-3.75	38.75	2020	0.78
16.75	50.25	2020	9.432
11.75	49.75	2020	12.024
22.25	68.25	2020	10.65
11.75	53.25	2020	5.98
15.25	51.75	2020	9.64
14.25	61.75	2020	27.566
17.25	59.25	2020	7.689
-0.25	47.75	2020	2.288
7.75	49.75	2020	7.577
11.75	51.25	2020	1.81
1.75	46.25	2020	6.802
13.25	54.25	2020	2.061
8.75	53.75	2020	1.358
17.25	61.75	2020	11.582
24.25	67.25	2020	41.217
27.25	68.25	2020	16.17
23.25	63.75	2020	14.308
23.25	67.25	2020	20.898
0.75	43.25	2020	4.948
5.75	51.75	2020	2.564
12.75	61.75	2020	20.685
23.25	67.75	2020	24.149
1.25	49.25	2020	4.722
7.75	48.75	2020	5.175
7.25	44.25	2020	14.413
4.75	52.25	2020	0.579
1.75	43.75	2020	1.955
24.25	66.75	2020	21.146
16.75	51.25	2020	4.221
20.75	53.75	2020	7.063
18.75	64.75	2020	27.662
-1.25	47.75	2020	1.694
24.75	66.75	2020	21.074
-5.25	40.25	2020	2.939
-2.75	42.25	2020	11.959
24.25	65.75	2020	5.071
19.75	53.25	2020	5.245
7.75	49.25	2020	15.447
19.25	65.25	2020	24.378
12.75	51.75	2020	6.299
-3.25	47.75	2020	3.362
-2.75	43.25	2020	8.997
14.25	52.75	2020	5.32
16.75	54.25	2020	8.568
14.25	53.75	2020	7.486
-0.25	46.75	2020	1.414
28.75	61.75	2020	12.603
15.25	50.75	2020	9.59
17.25	60.75	2020	12.739
-4.75	38.75	2020	0.919
16.75	56.75	2020	1.302
-2.25	40.75	2020	11.456
9.25	53.75	2020	0.735
6.75	48.75	2020	6.812
-5.25	38.75	2020	0.423
17.75	50.25	2020	2.733
26.25	64.25	2020	17.209
13.75	56.25	2020	15.145
17.25	62.75	2020	25.801
25.25	63.75	2020	17.047
3.75	48.25	2020	4.234
11.75	50.25	2020	8.619
5.75	46.75	2020	11.751
-0.75	37.75	2020	0.121
28.75	65.25	2020	32.3
25.25	64.75	2020	13.36
23.75	67.25	2020	25.467
-1.25	41.25	2020	3.703
-0.75	41.25	2020	1.366
-6.25	39.25	2020	0.812
14.75	62.25	2020	25.993
5.75	50.75	2020	3.602
13.75	52.25	2020	11.186
12.25	58.25	2020	17.121
6.25	47.75	2020	11.842
13.25	60.25	2020	23.05
-6.25	42.75	2020	16.371
28.25	63.25	2020	15.801
-6.25	38.25	2020	1.246
0.75	46.25	2020	2.799
17.25	64.25	2020	22.365
24.25	62.75	2020	19.525
-5.25	39.25	2020	1.759
12.75	62.25	2020	12.514
13.75	60.25	2020	23.362
27.25	60.75	2020	14.29
8.75	47.75	2020	6.218
11.25	53.75	2020	2.275
3.25	48.25	2020	4.2
-1.25	42.75	2020	11.964
-7.75	41.75	2020	8.279
20.25	50.25	2020	2.572
15.25	62.25	2020	26.691
16.25	51.25	2020	4.218
12.25	59.25	2020	18.663
26.75	67.75	2020	14.109
11.75	58.25	2020	16.627
25.25	62.25	2020	20.747
4.75	45.75	2020	3.565
12.75	62.75	2020	6.788
14.25	51.25	2020	6.519
5.75	45.25	2020	13.362
2.75	46.25	2020	4.309
6.25	45.75	2020	12.999
3.25	49.75	2020	2.592
0.25	42.75	2020	12.679
-4.75	40.75	2020	1.704
9.75	46.75	2020	10.512
6.75	51.25	2020	1.558
-0.75	40.75	2020	5.325
24.75	64.25	2020	20.707
23.25	54.25	2020	4.15
26.75	64.25	2020	29.361
17.25	50.75	2020	1.867
17.25	60.25	2020	13.377
23.75	60.25	2020	11.035
17.25	49.75	2020	5.32
17.75	59.75	2020	10.325
22.75	53.75	2020	5.966
7.75	44.25	2020	13.61
15.25	59.25	2020	7.919
18.25	59.75	2020	11.122
9.75	49.75	2020	5.918
27.25	65.25	2020	27.022
8.75	49.25	2020	6.713
28.75	67.75	2020	28.008
28.25	68.25	2020	13.135
2.25	47.25	2020	10.014
15.75	58.25	2020	12.316
1.25	48.75	2020	2.67
19.25	64.75	2020	25.649
14.25	61.25	2020	27.421
14.75	57.75	2020	17.314
23.75	50.25	2020	0.98
1.25	43.25	2020	3.705
-3.25	42.75	2020	6.481
1.25	44.25	2020	4.282
5.75	47.25	2020	9.955
20.75	54.25	2020	2.762
24.25	63.25	2020	20.688
5.75	52.75	2020	0.857
15.25	52.75	2020	12.87
13.25	49.25	2020	10.924
-6.75	37.75	2020	4.686
8.25	52.75	2020	1.851
2.25	49.75	2020	1.098
12.25	60.75	2020	5.429
18.75	50.75	2020	10.221
22.25	53.75	2020	6.186
-6.25	38.75	2020	0.371
-1.75	49.25	2020	0.32
22.25	52.25	2020	3.631
3.25	50.25	2020	0.708
14.75	53.25	2020	4.528
-0.75	48.75	2020	1.266
22.75	67.25	2020	17.868
1.75	48.75	2020	5.653
18.25	49.75	2020	3.632
1.75	47.75	2020	12.412
29.75	62.75	2020	12.704
-6.25	37.25	2020	0.217
15.25	56.75	2020	20.628
23.25	52.25	2020	5.27
16.25	50.25	2020	7.03
24.25	60.75	2020	15.476
2.75	50.75	2020	0.279
9.25	51.75	2020	6.633
10.25	51.25	2020	7.052
16.25	54.25	2020	5.358
2.25	44.75	2020	10.102
-0.75	44.75	2020	17.171
8.75	52.75	2020	1.558
5.75	43.75	2020	9.842
13.25	57.25	2020	15.884
-8.25	41.75	2020	7.899
3.75	44.75	2020	19.818
25.75	65.25	2020	18.225
-0.75	39.75	2020	5.744
-1.75	41.25	2020	3.733
2.25	45.75	2020	14.677
26.25	68.25	2020	18.854
16.75	49.75	2020	6.932
27.25	64.25	2020	15.782
0.25	42.25	2020	10.46
19.75	65.25	2020	25.509
19.75	49.75	2020	9.07
27.75	66.25	2020	21.786
-7.75	43.25	2020	7.333
15.75	51.25	2020	6.709
12.75	52.75	2020	5.334
-8.75	41.75	2020	4.363
6.75	45.25	2020	10.393
5.25	51.25	2020	8.281
23.25	63.25	2020	15.486
11.75	52.75	2020	3.604
21.25	62.75	2020	11.488
6.25	44.75	2020	7.877
20.75	64.25	2020	24.05
23.25	52.75	2020	5.141
14.25	63.25	2020	17.202
8.25	46.75	2020	8.458
6.25	46.75	2020	11.432
14.75	49.75	2020	5.272
14.75	64.75	2020	7.267
29.75	63.75	2020	37.18
16.25	65.25	2020	18.046
5.25	49.25	2020	8.474
-0.75	43.25	2020	7.394
12.75	54.25	2020	3.751
20.25	52.25	2020	2.992
23.75	61.75	2020	14.333
4.75	47.75	2020	12.712
21.25	64.25	2020	9.619
16.75	65.75	2020	16.832
24.25	60.25	2020	9.065
23.25	60.25	2020	15.403
12.75	50.25	2020	12.845
1.75	41.25	2020	3.074
3.75	43.75	2020	5.898
12.25	48.25	2020	4.131
-3.25	41.75	2020	6.269
12.75	53.75	2020	3.239
23.25	68.25	2020	12.946
