Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1901;0;61,0;0,053;0,068;0,321;0,001;0,443;1901;POLYGON ((3744771.833825695 4198326.655505182, 3762233.509834803 4308234.221051455, 3815049.100333084 4300683.623378167, 3799241.5381316175 4190565.9196047005, 3744771.833825695 4198326.655505182));6028,718071832426
1902;0;61,5;0,052;0,068;0,321;0,001;0,442;1902;POLYGON ((3753483.2363046464 4253290.679578069, 3771022.514268783 4363156.169595197, 3823005.621742646 4355712.002547496, 3807127.697032939 4245634.559166173, 3753483.2363046464 4253290.679578069));5934,161641149439
1903;0;62,0;0,053;0,067;0,322;0,001;0,442;1903;POLYGON ((3762233.509834803 4308234.221051455, 3779850.109985225 4418055.413629974, 3830997.135453619 4410718.585758692, 3815049.100333084 4300683.623378167, 3762233.509834803 4308234.221051455));5839,128003610981
1904;0;62,5;0,05;0,068;0,321;0,001;0,44;1904;POLYGON ((3771022.514268783 4363156.169595197, 3788716.157897028 4472930.840367432, 3839023.5161469714 4465702.260914649, 3823005.621742646 4355712.002547496, 3771022.514268783 4363156.169595197));5743,624450780159
1905;0;63,0;0,049;0,067;0,322;0,001;0,438;1905;POLYGON ((3779850.109985225 4418055.413629974, 3797620.519460069 4527781.335850891, 3847084.6390006524 4520661.914777836, 3830997.135453619 4410718.585758692, 3779850.109985225 4418055.413629974));5647,658327476811
1906;0;63,5;0,046;0,068;0,322;0,001;0,437;1906;POLYGON ((3788716.157897028 4472930.840367432, 3806563.0566823967 4582605.784996693, 3855180.379698042 4575596.433012165, 3839023.5161469714 4465702.260914649, 3788716.157897028 4472930.840367432));5551,237031180017
1907;0;64,0;0,045;0,069;0,321;0,001;0,437;1907;POLYGON ((3797620.519460069 4527781.335850891, 3815543.6321338927 4637403.071635935, 3863310.614436813 4630504.700225262, 3847084.6390006524 4520661.914777836, 3797620.519460069 4527781.335850891));5454,368011406123
1908;0;64,5;0,046;0,069;0,321;0,001;0,438;1908;POLYGON ((3806563.0566823967 4582605.784996693, 3824562.1089564497 4692172.078557011, 3871475.219938274 4685385.600011556, 3855180.379698042 4575596.433012165, 3806563.0566823967 4582605.784996693));5357,058769081076
1909;0;65,0;0,045;0,069;0,321;0,001;0,436;1909;POLYGON ((3815543.6321338927 4637403.071635935, 3833618.350874591 4746911.687548394, 3879674.073457108 4740238.014995626, 3863310.614436813 4630504.700225262, 3815543.6321338927 4637403.071635935));5259,316855890248
1910;0;65,5;0,048;0,065;0,321;0,001;0,435;1910;POLYGON ((3824562.1089564497 4692172.078557011, 3842712.2222066093 4801620.779442122, 3887907.052791587 4795060.8268762585, 3871475.219938274 4685385.600011556, 3824562.1089564497 4692172.078557011));5161,149873608326
1911;0;66,0;0,048;0,067;0,321;0,001;0,437;1911;POLYGON ((3833618.350874591 4746911.687548394, 3851843.5878761937 4856298.234157767, 3896174.036294229 4849852.916471018, 3879674.073457108 4740238.014995626, 3833618.350874591 4746911.687548394));5062,565473426888
1912;0;66,5;0,045;0,068;0,321;0,001;0,435;1912;POLYGON ((3842712.2222066093 4801620.779442122, 3861012.313424534 4910942.930746791, 3904474.9028828912 4904613.163761205, 3887907.052791587 4795060.8268762585, 3842712.2222066093 4801620.779442122));4963,571355252256
1913;0;67,0;0,043;0,07;0,321;0,001;0,435;1913;POLYGON ((3851843.5878761937 4856298.234157767, 3870218.2650229437 4965553.74743749, 3912809.5320523353 4959340.447937424, 3896174.036294229 4849852.916471018, 3851843.5878761937 4856298.234157767));4864,175266993379
1914;0;67,5;0,043;0,07;0,321;0,001;0,435;1914;POLYGON ((3861012.313424534 4910942.930746791, 3879461.309485962 5020129.561680304, 3921177.8038862273 5014033.64744553, 3904474.9028828912 4904613.163761205, 3861012.313424534 4910942.930746791));4764,385003835476
1915;0;68,0;0,045;0,068;0,321;0,001;0,435;1915;POLYGON ((3870218.2650229437 4965553.74743749, 3888741.3142849766 5074669.250193611, 3929579.5990696144 5068691.640033079, 3912809.5320523353 4959340.447937424, 3870218.2650229437 4965553.74743749));4664,208407494507
1916;0;68,5;0,046;0,069;0,321;0,001;0,437;1916;POLYGON ((3879461.309485962 5020129.561680304, 3898058.1475623483 5129171.689009985, 3938014.7989018583 5123313.302796256, 3921177.8038862273 5014033.64744553, 3879461.309485962 5020129.561680304));4563,653365462126
1917;0;69,0;0,047;0,069;0,321;0,001;0,438;1917;POLYGON ((3888741.3142849766 5074669.250193611, 3907411.6781460363 5183635.753522739, 3946483.2853100197 5177897.512227103, 3929579.5990696144 5068691.640033079, 3888741.3142849766 5074669.250193611));4462,727810228023
1918;0;69,5;0,046;0,07;0,321;0,001;0,438;1918;POLYGON ((3898058.1475623483 5129171.689009985, 3916801.7755647586 5238060.318533061, 3954984.940862743 5232443.144261362, 3938014.7989018583 5123313.302796256, 3898058.1475623483 5129171.689009985));4361,439718494992
1919;0;70,0;0,047;0,07;0,322;0,001;0,44;1919;POLYGON ((3907411.6781460363 5183635.753522739, 3926228.3100636406 5292444.258297283, 3963519.6487845713 5286949.074326465, 3946483.2853100197 5177897.512227103, 3907411.6781460363 5183635.753522739));4259,797110373044
1920;0;70,5;0,047;0,068;0,322;0,001;0,438;1920;POLYGON ((3916801.7755647586 5238060.318533061, 3935691.152620404 5346786.446574682, 3972087.2929707607 5341414.177390067, 3954984.940862743 5232443.144261362, 3916801.7755647586 5238060.318533061));4157,808048559258
1921;0;71,0;0,05;0,069;0,322;0,001;0,441;1921;POLYGON ((3926228.3100636406 5292444.258297283, 3945190.1749620847 5401085.756675614, 3980687.758002581 5395837.32800894, 3963519.6487845713 5286949.074326465, 3926228.3100636406 5292444.258297283));4055,4806375116136
